,Symbol,grossProfitRatioQMinus1,grossProfitRatioQMinus2,epsdilutedQMinus1,epsdilutedQMinus2,priceEarningsToGrowthRatioTTM,priceCashFlowRatioTTM,priceEarningsRatioTTM,priceBookValueRatioTTM,assetTurnoverTTM,dividendYieldPercentageTTM,Cluster
1,EDPR.LS,0.8529959999999999,0.8552059999999999,0.29203,0.07073,462.224304798853,22.6775741180626,32.6939961287181,2.04410413157493,0.144556679400712,0.476758045292014,2
2,JMT.LS,0.215415,0.220681,0.1105,0.055220000000000005,500.88526358074,22.7114404047435,27.660360410616104,4.78686986335437,2.07831761576758,1.42121524201854,1
3,COR.LS,0.520396,0.518813,0.25768,0.14944000000000002,88.8289677584779,73.7890012437139,13.274253640599598,2.63578469151827,1.08653601808575,2.63157894736842,2
4,GALP.LS,0.099704,0.14301,-0.18571,-0.30871,87.49831658360621,15.1514576706207,-27.011820027541,1.79197500998369,1.10306342364532,4.82825868142929,0
6,SEM.LS,0.357495,0.376391,0.16297,0.21474000000000001,32.2455378008919,4.24623237426173,6.9242684373522,0.6006249184633771,0.470262487617089,1.79083094555874,1
8,FLEXD.LS,0.0,0.0,0.1583,0.02196,1217.7571078078101,1.96004925898875,26.7392487954998,0.888868052207236,0.1209028374215,3.4045643153527005,3
9,EDP.LS,0.440984,0.421142,0.04931,0.03909,844.318315940964,105.712473636497,35.9789880331616,1.87457397574354,0.329512033957371,4.192707157371871,1
11,ALTR.LS,0.253483,0.251449,0.01178,0.03323,531.701138508212,63.1230488109099,17.6661338917687,1.79857043647505,0.461774724882191,8.25536598789213,0
12,NBA.LS,1.0,1.0000440000000002,0.15525,0.6000300000000001,6.15581537007437,8.62107456553516,3.71955825654322,1.91396372913136,1.28679495762736,4.09356725146199,1
14,NOS.LS,0.733402,0.69663,0.08834,-0.02019,-874.849171685931,7.73207901513422,17.650177084669,1.74021493949854,0.499471292637338,9.15678524374177,0
18,RENE.LS,0.870167,0.8773700000000001,0.06945,0.006490000000000001,1593.0430466008402,15.1245564851122,10.3319297507788,1.16327973053888,0.224052426259045,7.154811715481171,3
20,NVG.LS,0.599298,0.573303,0.018869999999999998,0.04239,279.984900355051,15.1605466124999,12.0525542505936,1.32329821076975,0.572793268875448,7.00502512562814,0
21,SNC.LS,0.25795500000000005,0.314434,0.030719999999999997,-0.014709999999999999,-835.3187063453661,-112.19150704268101,12.291274580892,0.458371205452621,0.109289956984279,5.286624203821661,0
29,SON.LS,0.20481300000000002,0.175032,-0.00782,-0.028860000000000004,-635.0396445174019,4.61438052360181,18.2066379488291,0.553376504249624,0.846730866888362,8.921001926782269,0
